No,Pattern Category,Pattern Name,Keywords,Problem,Solution,Do,Don't,Code Example,Anti-Pattern,When to Use,Trust Impact,Severity
13,Tool Use,Agent Step Timeline,timeline steps plan progress agent multi-step trace,Multi-step agent runs feel chaotic; users cannot follow what was done or what remains,"Show an ordered, collapsible timeline of planned and completed steps with status icons",Render steps as a vertical timeline with pending/running/done states,Emit a wall of unstructured log text for a multi-step run,steps.map(s => <Step status={s.state} label={s.label}/>),console-style log dump with no structure or status,Agents that execute plans of 3+ steps,Medium,Medium
14,Tool Use,Long-Task Progress,long running task progress background async polling job,"Tasks that take minutes look frozen, so users refresh or abandon them",Show determinate progress or elapsed time and allow the user to leave and get notified on completion,Report progress/elapsed time and let the task run in the background with a completion notice,Block the whole UI on a modal spinner for a multi-minute job,<Progress value={done} max={total}/> Running 2m 14s — you can leave this open,<ModalSpinner/> blocking UI with no time estimate for 3 minutes,"Deep research, batch, or heavy generation tasks",Medium,Medium
15,Tool Use,Tool Result Collapsing,collapse tool output result verbose json truncate,"Raw tool output (long JSON, full pages) buries the actual answer",Collapse verbose tool results behind a summary the user can expand if they want detail,Show a one-line result summary with an expandable 'View details' section,Paste the entire raw tool payload inline into the conversation,<details><summary>Read 3 files</summary><pre>{raw}</pre></details>,<pre>{hugeJsonBlob}</pre> // dominates the transcript,Agents whose tools return large payloads,Low,Low
16,Trust & Safety,Source Attribution,citation source attribution reference grounding link footnote,Users cannot verify AI claims and have no way to check whether an answer is real,Attach inline citations linking each factual claim to its source document or URL,Add clickable citation markers next to claims that open the exact source,State facts with total confidence and zero sources,The market grew 12%<a href={src} class='cite'>[1]</a>,"'The market grew 12%.' // no source, unverifiable","RAG, search, and research assistants making factual claims",High,High
17,Trust & Safety,Uncertainty Signaling,confidence uncertainty hedge probability signal reliability,"AI states guesses with the same confident tone as verified facts, misleading users",Signal low-confidence or speculative content visually or verbally so users calibrate trust,"Distinguish 'I'm not certain, but...' content and let the model hedge honestly",Force a confident tone on every answer regardless of actual certainty,<span class='text-amber-600'>Low confidence:</span> likely around 2019,'It was definitely 2019.' // false certainty on a guess,"Any domain where wrong answers carry real cost (health, legal, finance)",High,High
18,Trust & Safety,AI Content Label,ai-generated label provenance disclosure watermark badge,Users or downstream readers mistake AI-generated content for verified human work,Clearly label AI-generated or AI-assisted output so people can weigh it appropriately,Add an unobtrusive 'AI-generated' badge on generated media and drafts,Present AI output as indistinguishable from vetted human content,<span class='badge'>AI-generated</span> next to the output,no label; readers assume a human wrote and checked it,"Generated images, drafts, summaries shown to third parties",High,Medium
19,Trust & Safety,Grounding Indicator,grounding rag from-your-data source vs general knowledge,Users cannot tell whether an answer came from their documents or the model's general knowledge,Visually distinguish grounded answers (from provided context) from ungrounded model knowledge,Tag answers as 'From your documents' vs 'General knowledge' and show which chunks were used,Blend retrieved facts and model priors with no indication of origin,<Badge>From your docs</Badge> vs <Badge variant='muted'>General knowledge</Badge>,single answer with no signal whether it used the user's data,RAG assistants over private knowledge bases,High,Medium
20,Trust & Safety,Refusal Messaging,refusal guardrail decline safety blocked policy explain,Blunt 'I can't help with that' refusals feel arbitrary and frustrate legitimate users,"Explain why a request was declined and offer a safe, constructive alternative when possible",Give a brief honest reason and a redirect toward what you can do,Return a terse canned refusal with no explanation or path forward,"I can't help draft that, but I can outline the legal steps to report it safely.","'I cannot help with that request.' // no reason, no alternative",Any assistant with safety guardrails,Medium,Medium
21,Feedback,Response Rating,thumbs feedback rating up down quality signal reason,Product teams get no signal on answer quality and users cannot flag bad output,Offer lightweight thumbs up/down with an optional reason to capture quality signal,Show subtle 👍/👎 on each response and ask an optional 'what went wrong' on downvote,Bury feedback in a separate survey nobody opens,"<button onClick={() => rate(id,'down')}>👎</button> → optional reason chips",no per-message feedback; only a global 'Contact support' link,Any AI product that iterates on model or prompt quality,Low,Low
22,Feedback,Regenerate Response,regenerate retry rewrite try-again variant redo,A single mediocre answer leaves users stuck with no easy way to get a better one,"Provide a one-click Regenerate that re-runs the last prompt, optionally with tone/length tweaks",Offer Regenerate plus quick modifiers like 'shorter' or 'more formal',Force users to retype the whole prompt to try again,<button onClick={regenerate}>↻ Regenerate</button> [Shorter] [More detail],user must copy-paste and resend the prompt manually,Any generative response UI,Medium,Medium
23,Feedback,Edit and Resubmit,edit message resubmit fork rewind prompt correction,A small typo or missing detail in the prompt forces starting the whole thread over,"Let users edit an earlier message and re-run from that point, forking the conversation",Make prior user messages editable and regenerate downstream from the edit,Lock sent messages so any mistake means a brand-new conversation,<button onClick={() => editFrom(msgId)}>Edit</button> // forks the thread,sent messages are immutable; only option is a fresh chat,Multi-turn conversational assistants,Low,Medium
24,Feedback,Response Comparison,compare variants side-by-side ab two answers choose,Users cannot judge which of several possible answers is best,Generate two variants side by side and let the user pick the preferred one,Show A/B responses with a 'pick this' control that also feeds preference data,Overwhelm the user with five variants and no way to choose,<div class='grid grid-cols-2'>{variantA}{variantB}</div> + pick buttons,"auto-pick silently, giving the user no choice or insight",High-stakes drafting or preference-tuning flows,Low,Low
25,Memory,Memory Transparency,memory remember stored profile transparency what-it-knows,"AI silently remembers personal facts, unsettling users who cannot see or control it","Expose a viewable, editable list of what the assistant has stored about the user",Provide a Memory panel showing each stored fact with edit/delete controls,Persist user facts invisibly with no way to inspect or remove them,<MemoryList items={facts} onDelete={forget} onEdit={update}/>,hidden long-term memory the user never sees or consents to,Assistants with persistent cross-session memory,High,High
26,Memory,Memory Save Notice,memory saved toast notice consent added confirmation,The AI stores something important without the user realizing it was saved,"Show a brief, dismissible notice when a new memory is written, with undo",Surface a 'Saved to memory' toast with an Undo action when a fact is stored,Write memories silently with zero acknowledgement,"toast('Saved to memory: prefers metric units', { action: undo })","silent write; user only discovers it turns later, feels surveilled",Products that auto-extract memories from conversation,Medium,Medium
27,Memory,Conversation Reset,reset clear new chat context fresh forget session,"Prior context leaks into an unrelated new task, producing confusing answers",Give an obvious 'New chat' / clear-context control and show when context has been reset,Offer a clear New Chat action and visually mark the fresh-context boundary,Keep one endless thread where old topics contaminate new ones,<button onClick={newChat}>+ New chat</button> // starts clean context,single infinite thread; no way to drop stale context,Any multi-turn assistant,Low,Medium
28,Latency,Perceived Latency,latency perceived skeleton optimistic first-token time-to-first,Even fast models feel slow when nothing happens for the first second,Optimize time-to-first-token: echo the user message instantly and show an immediate thinking state,Render the user's message and a thinking indicator within ~100ms of send,Leave the UI static until the full response is ready,appendUserMsg(); showThinking(); // then stream,await fullResponse(); render() // UI dead for 3s,Every AI response interface,Medium,High
29,Errors,Graceful Failure Recovery,error retry failure recover resume partial network timeout,A dropped connection mid-stream loses the whole partial response and the user's place,Preserve partial output on failure and offer Retry that resumes rather than restarts,"Keep the partial text, show an inline error, and offer Retry / Continue",Wipe the partial answer and show a generic full-screen error,"catch { keepPartial(); showInline('Connection lost', { retry }) }",catch { clearChat(); alert('Something went wrong') },Any streaming or long-running AI request,High,High
30,Errors,Rate Limit Messaging,rate limit quota throttle wait retry-after cooldown busy,A cryptic 429 or 'error' leaves users unsure whether to retry or give up,"Explain the limit in human terms with a concrete wait time and, if relevant, an upgrade path","Say what happened, when they can retry, and disable send with a countdown",Show a raw '429 Too Many Requests' or silent failure,You've hit the hourly limit. Try again in 4m — <a>upgrade for more</a>.,"toast('Error 429') // opaque, actionable to no one",Metered or free-tier AI products,Medium,Medium
31,Cost,Token and Cost Visibility,cost tokens usage price budget spend meter billing,Users on metered plans have no idea what a request will cost until the bill arrives,Show token/cost usage per request or session so users can self-govern spend,Display running cost/usage and warn before an unusually expensive operation,Hide all usage until an invoice surprises the user,"<span class='text-xs'>~1,240 tokens · $0.01</span> under the response",no usage signal anywhere; cost is a black box,Pay-as-you-go APIs and dashboards,Medium,Medium
32,Cost,Model Capability Disclosure,model selector picker capability speed cost tradeoff choose,"Users pick a model blindly with no sense of its speed, cost, or strengths","Label each model with plain-language tradeoffs (speed vs depth vs cost), not just a codename","Describe models by what they're good for, with cost/speed hints on the selector",Offer a dropdown of opaque version strings with no guidance,Fast · cheap · everyday   |   Smartest · slower · complex reasoning,<select><option>model-x-2026-v3</option></select> // meaningless to users,Products exposing multiple models to end users,Low,Low
33,Onboarding,AI Empty State,empty state onboarding first-run capability limits expectations,"New users don't know what the AI can do, its limits, or how to phrase requests","Use the empty state to set capabilities, limits, and example prompts honestly","Explain what it's good at, note key limits, and offer example prompts",Drop users into a blank chat with an over-promising 'I can do anything' claim,<EmptyState caps={goodAt} limits={cantDo} examples={starters}/>,"blank screen implying unlimited, always-correct capability",First-run experience of any assistant,Medium,Medium
34,Onboarding,Expectation Setting,disclaimer limits mistakes can-make-errors honesty footer,Users over-trust AI output and act on hallucinations without verifying,"Set an honest, non-intrusive reminder that the AI can make mistakes near where output appears",Add a quiet 'AI can make mistakes — verify important info' line at the input,Imply flawless accuracy or bury the disclaimer where nobody reads it,<p class='text-xs text-muted'>AI can make mistakes. Verify important info.</p>,no caveat anywhere; product implies perfect reliability,Any consumer-facing AI assistant,Medium,Medium
35,Voice,Barge-In Interrupt,voice barge-in interrupt talk-over realtime speech stop-speaking,"The AI keeps talking over the user, forcing them to wait through a wrong answer","Let the user interrupt by speaking; detect voice activity, stop TTS instantly, and start listening",Duck/stop the AI's speech the moment user speech is detected and switch to listening,Play the full generated audio no matter what the user does,onSpeechDetected(() => { tts.stop(); startListening() }),"audio.play(); // uninterruptible, user must wait it out",Voice assistants and realtime speech agents,High,High
36,Voice,Live Transcription,transcription live captions speech-to-text partial realtime asr,Users can't tell if the voice agent heard them correctly until it responds wrongly,Show live partial transcription of the user's speech so they can catch misrecognition early,"Stream interim ASR results in gray, finalize in solid text when confidence settles",Hide the transcript and only reveal what was heard after the AI answers,<p>{finalText}<span class='text-muted'>{interimText}</span></p>,no transcript; user discovers the mishear only from a wrong reply,Any voice-input AI interface,Medium,Medium
37,Voice,Turn-Taking Indicator,turn taking listening speaking state voice conversation status,In voice mode users don't know whether it's their turn to talk or the AI is still thinking,"Show an explicit state: Listening, Thinking, or Speaking, with distinct visual/audio cues","Render a clear mode indicator (waveform when listening, dots when thinking)",Use one identical animation for every state so users talk over each other,<StateOrb mode={mode} /> // 'listening' | 'thinking' | 'speaking',single generic pulsing dot for all states; awkward collisions,Hands-free / voice-first agents,Medium,Medium
38,Voice,Voice Latency Masking,voice latency filler thinking sound delay acknowledgement backchannel,Silence after the user stops talking feels like the voice agent crashed,"Acknowledge within ~500ms with a short backchannel ('mm-hmm', a soft tone) while generating","Emit a brief acknowledgement cue immediately, then stream the real reply",Stay dead silent for 2-3 seconds while the model generates,onUserDone(() => playBackchannel()); then streamReply(),long silent gap; user repeats themselves thinking it failed,Realtime voice where TTFB is noticeable,Low,Medium
39,Security,Prompt Injection Warning,prompt injection untrusted content security instruction override warning,Malicious text in a webpage or document hijacks the agent to act against the user,"Treat tool/web/document content as untrusted data, never instructions, and flag suspicious directives","Isolate external content, ignore embedded commands, and warn when content tries to instruct the agent",Feed fetched page text straight into the prompt as if the user wrote it,if (looksLikeInjection(webText)) warn('This page tried to give me instructions'),prompt = userMsg + rawWebPage // page can now command the agent,"Any agent that ingests web pages, emails, or files",High,High
40,Security,Data Exfiltration Guard,exfiltration data leak outbound confirm send external destination,An agent can be tricked into sending private data to an attacker-controlled destination,Confirm before sending user data to any recipient or URL not chosen by the user,Show the exact data and destination and require approval for outbound sends,Auto-send data to whatever address the tool or content suggests,<Confirm data={payload} to={dest}>Send this to {dest}?</Confirm>,"await post(urlFromWebpage, userData) // silent exfiltration",Agents with send/post/upload capabilities,High,High
41,Security,Untrusted Content Boundary,boundary untrusted quote provenance visual separation tool output,"Users can't distinguish the AI's own words from quoted, possibly-malicious external text",Visually box and label content that came from tools or the web as external/quoted,Wrap external content in a labeled quote block distinct from the AI's own voice,Blend fetched text into the AI's reply with no visual boundary,<blockquote data-source='web'>{external}</blockquote>,external text rendered identically to the assistant's own answer,Agents surfacing third-party content,Medium,Medium
42,Evaluation,Version History,version history diff compare previous response revision restore,"After regenerating, users lose a previous answer they actually preferred",Keep prior generations navigable (< 2/3 >) so users can compare and restore any version,Store each regeneration as a version with prev/next navigation and restore,Overwrite the previous answer irreversibly on every regenerate,<Pager current={2} total={3} onPrev={...} onNext={...}/>,"regenerate() // old answer gone forever, no way back",Generative UIs where users iterate on output,Low,Low
43,Evaluation,Flag to Dataset,flag report eval dataset capture example improve collect,"Bad outputs are noticed but never captured, so the product never improves","Turn a user's negative feedback into a structured eval example (input, output, expected)","On a downvote, capture the full context into an eval/review queue with the user's note",Log only a thumbs-down count with no reproducible context,"onDownvote(({reason}) => evalQueue.add({ input, output, reason }))","increment(downvotes) // no context, nothing to learn from",Teams running a model/prompt improvement loop,Low,Low
44,Steering,Custom Instructions,system prompt custom instructions persona preferences steer persistent,"Users repeat the same preferences ('be concise', 'use British English') every session","Offer persistent custom instructions applied to every conversation, editable anytime",Provide a settings field for standing preferences and show they're active,Force users to restate style preferences in every single prompt,<Textarea label='Custom instructions' value={prefs} onChange={save}/>,no persistence; the AI forgets tone preferences each session,Assistants used repeatedly by the same person,Medium,Medium
45,Steering,Tone and Length Controls,tone length concise detailed formal casual quick controls modifiers,"Users get a wall of text when they wanted a one-liner, or vice versa","Give quick, visible controls for length and tone instead of requiring prompt engineering",Offer chips like Concise/Detailed and Formal/Casual that adjust the next response,Bury tone control inside a paragraph of prompt the user must write,[Concise] [Detailed] [Formal] [Casual] // one-tap response shaping,user must write 'please be more concise and formal' every time,General-purpose assistants and writing tools,Low,Low
46,Steering,Creativity Control,temperature creativity slider randomness deterministic plain-language,A raw 'temperature: 0.7' slider is meaningless to non-technical users,"Expose creativity as plain-language options (Precise / Balanced / Creative), not raw numbers",Map sampling settings to human labels with a short description of each,Show a bare numeric temperature/top-p slider with no explanation,[Precise] [Balanced] [Creative] // maps to temperature under the hood,<input type='range' min=0 max=2 /> labeled 'temperature',Consumer tools exposing generation randomness,Low,Low
47,Collaboration,Shareable Conversation,share link conversation export privacy scrub redact publish,Sharing an AI chat can leak personal data embedded earlier in the thread,"Let users share a conversation via link, with a privacy review/scrub before it goes public",Preview what will be shared and offer to redact personal info before creating the link,Generate a public link instantly including all private context,<ShareDialog preview={thread} onRedact={scrub} onConfirm={publish}/>,"createPublicLink(thread) // no review, leaks earlier PII",Products with share/export of conversations,High,Medium
48,Collaboration,Branching Conversation,branch fork tree explore alternative path conversation nonlinear,Exploring an alternative direction destroys the original conversation path,Allow branching from any message so users can explore alternatives without losing the main thread,Fork the thread at a chosen message and let users switch between branches,Force a strictly linear thread where exploring means overwriting,<button onClick={() => branchFrom(msgId)}>Branch</button> // tree view,linear-only chat; trying another path erases the current one,"Research, brainstorming, and power-user assistants",Low,Low
49,Accessibility,Screen Reader Streaming,accessibility aria-live screen reader streaming announce politeness,"Streaming text spams screen readers, re-announcing the whole answer on every token","Use aria-live='polite' on a stable container and announce completed chunks, not each token",Announce sentence/paragraph boundaries politely; avoid re-reading the full buffer,Wrap the streaming node in aria-live='assertive' updated per token,<div aria-live='polite' aria-atomic='false'>{committedText}</div>,<div aria-live='assertive'>{fullBufferEveryToken}</div> // unusable,Any streaming AI UI aiming for accessibility,Medium,High
50,Accessibility,Reduced Motion AI,reduced motion prefers-reduced-motion typing cursor animation a11y,Blinking cursors and typing animations trigger discomfort for motion-sensitive users,"Respect prefers-reduced-motion: drop the caret blink and typewriter effect, show text plainly",Gate AI-specific animations behind a reduced-motion check,Force typewriter and pulsing animations on everyone,@media (prefers-reduced-motion) { .ai-caret { animation: none } },always-on typing animation ignoring the user's OS setting,AI UIs with motion-based streaming affordances,Low,Medium
51,Retrieval,Chunk Highlighting,rag chunk highlight passage grounding evidence source snippet,Users see a citation but can't tell which exact sentence in the source backs the claim,Highlight the specific retrieved passage that grounded the answer when the user opens a source,Deep-link citations to the exact highlighted span in the source document,Link to the whole 40-page PDF and let the user hunt for the relevant line,<a href={src+'#:~:text='+encodeURIComponent(span)}>[1]</a>,"<a href={docUrl}>[1]</a> // opens page 1, evidence buried on page 30",RAG assistants citing long documents,High,Medium
52,Retrieval,Retrieval Preview,retrieval preview sources found before answer transparency search,The model answers before the user knows what it actually retrieved to answer from,Show the retrieved sources (titles/snippets) before or alongside the generated answer,List the top retrieved chunks so users can judge relevance before trusting the synthesis,Hide retrieval entirely and present only the final synthesized answer,<Sources items={retrieved} /> above the streamed answer,answer appears with no visibility into what was searched or found,RAG and search-grounded assistants,High,Medium
53,Retrieval,Insufficient Context,no answer insufficient not found dont-know abstain grounding honesty,"When the docs lack the answer, the model invents one instead of admitting the gap",Detect low-relevance retrieval and say 'I couldn't find this in your sources' rather than guess,Abstain honestly when retrieval scores are weak and offer to search wider,Fabricate a confident answer from unrelated or empty retrieved context,if (topScore < threshold) return 'Not found in your documents.',generate a plausible answer despite zero relevant retrieval,Closed-domain RAG where wrong answers are costly,High,High
54,Retrieval,Knowledge Freshness,freshness recency as-of date stale cutoff data timestamp,Users act on data without knowing how old it is or when it was last indexed,Stamp answers and sources with an 'as of' date so users can judge staleness,Show the source/index date near retrieved facts and flag clearly stale data,Present time-sensitive facts with no indication of when they were true,<span class='text-muted'>Source updated 3 days ago</span>,"'The price is $40.' // from a doc indexed 8 months ago, unlabeled","RAG over changing data (prices, docs, policies)",Medium,Medium
55,Retrieval,Multi-Source Merge,synthesis multiple sources merge conflict attribution combine,"An answer blends several sources, so users can't tell which fact came from where",Attribute each synthesized claim to its specific source and surface source conflicts,Map each sentence to its source and flag when sources disagree,Merge multiple documents into one confident voice with a single generic citation,The A2 model ships Q3<cite>[2]</cite> at $30<cite>[5]</cite>.,single [1] footnote for an answer synthesized from five documents,Research assistants combining many sources,High,Medium
56,Multi-Agent,Agent Handoff Visibility,handoff multi-agent routing which agent active transfer orchestration,In a multi-agent system users have no idea which specialist is currently handling them,"Name and surface the active agent on handoff so the transition is legible, not jarring",Announce handoffs ('Routing you to the billing specialist') and label the active agent,Silently swap agents mid-conversation with no signal or context carry-over,<Banner>Handed off to Billing Agent</Banner> // context preserved,tone and knowledge shift abruptly with no explanation of who's talking,Products with multiple specialized agents,Medium,Medium
57,Multi-Agent,Delegation Tree,delegation subagent tree orchestrator spawned parallel fan-out,An orchestrator spawns sub-agents and the user sees only a long unexplained pause,"Visualize the delegation tree: which sub-agents were spawned, their task, and status",Show sub-agents as a nested/indented live tree with per-node status,Collapse all parallel sub-agent work into one opaque 'Working...' state,"<Tree nodes={subagents} /> // Researcher ✓, Coder ▶, Reviewer ⏳",no visibility into fan-out; a 3-minute silence with no structure,Orchestrator/worker agent architectures,Medium,Medium
58,Multi-Agent,Consensus Display,consensus disagreement multiple agents vote compare verify agree,Multiple agents reach different conclusions and the UI hides the disagreement,Surface when agents disagree and show the divergence rather than papering over it,Display each agent's verdict and highlight agreement vs conflict for the user to judge,"Average or silently pick one agent's answer, hiding that others disagreed","<Verdicts items={agents} /> // 2 agree, 1 dissents — shown to user",return agents[0].answer // dissent discarded invisibly,Verification / debate multi-agent setups,High,Medium
59,Multi-Agent,Orchestrator Status,orchestrator plan progress phase step multi-agent overview control,Long multi-agent runs feel unbounded; users can't tell how far along or intervene,"Show an orchestrator-level plan with phases, current step, and a way to pause or steer",Render the overall plan with a progress marker and a stop/redirect control,Run the whole plan to completion with no progress signal or off-ramp,<Plan phases={phases} current={i} onPause={halt} />,opaque long-running job with no plan view and no way to intervene,Autonomous multi-step agent workflows,Medium,High
60,Generation,Inline Edit Diff,diff edit rewrite change track suggestion inline redline,"When AI rewrites text, users can't see what changed versus their original",Show AI edits as an inline diff (additions/deletions) rather than a wholesale replacement,Render rewrites as tracked changes the user can scan before accepting,"Replace the user's text with a new block, hiding what was actually changed","<Diff before={original} after={rewrite} /> // green add, red strike","setText(aiRewrite) // original overwritten, changes invisible",AI writing and code-editing tools,Medium,Medium
61,Generation,Per-Change Accept,accept reject per-change granular apply suggestion hunk approve,Users are forced to accept or reject an entire AI rewrite all-or-nothing,"Let users accept or reject each individual change, not the whole suggestion at once",Offer per-hunk Accept/Reject so users keep the good edits and drop the bad ones,Provide a single Apply-all button for a rewrite touching many spots,hunks.map(h => <Hunk onAccept={...} onReject={...} />),<button>Apply all changes</button> // one bad edit taints the lot,Code assistants and document editors,Medium,Medium
62,Generation,Draft vs Final State,draft final review status generated confidence editable provisional,"AI-generated content looks final, so users ship it without reviewing",Mark generated content as a Draft that visibly requires review before it's treated as final,Badge output as 'Draft — review before sending' until the user confirms,"Present generated drafts styled identically to approved, sent content",<Badge tone='warn'>Draft</Badge> // blocks send until reviewed,generated email looks sent-ready; user fires it without a read,Drafting tools that produce outbound content,Medium,Medium
63,Generation,Variable Filling,template variable placeholder fill merge fields review generated,AI fills a template but silently leaves or guesses unfilled placeholders,Highlight AI-filled variables and flag any it couldn't confidently complete,Visually mark filled fields and force review of low-confidence or empty ones,Silently insert a plausible guess for missing merge fields,<mark data-conf='low'>[client name?]</mark> // flagged for review,'Dear John' inserted as a guess when the name was actually unknown,Template/mail-merge generation,Medium,Medium
64,Generation,Length Adherence,length limit word count target constraint verbose trim respect,User asks for a tweet-length reply and gets four paragraphs,Respect explicit length constraints and show a live count against the target,Honor requested limits and surface a counter (e.g. 240/280) while generating,"Ignore the stated limit and over-generate, forcing the user to trim",<span>212/280</span> // enforced against the user's constraint,produce 600 words when the user asked for 'one sentence',"Constrained-format generation (captions, summaries)",Low,Low
65,Personalization,Adaptive Suggestions,adaptive personalized history suggestion learn recent context,Starter prompts stay generic and ignore what the user actually does repeatedly,"Adapt suggestions to the user's recent tasks and patterns, not a static list","Surface suggestions derived from recent history, clearly marked as personalized",Show the same fixed example prompts to a first-timer and a daily power user,suggestions = fromHistory(user.recent).concat(defaults),identical hardcoded starters regardless of usage,Repeat-use assistants with a history signal,Low,Low
66,Personalization,Preference Learning Opt-In,learn preference opt-in explicit consent adapt personalize control,The AI adapts to inferred preferences the user never agreed to or can see,"Make preference learning explicit and opt-in, with visible, revertible learned traits",Ask before learning long-term preferences and show what was inferred,Silently build a behavioral profile and act on it without disclosure,"toast('Noticed you prefer bullet points — apply always?', {yes,no})",auto-adapts tone/format from tracking with no consent or visibility,Assistants that personalize over time,High,Medium
67,Personalization,Reset Personalization,reset personalization clear profile fresh neutral default control,Personalization drifts wrong and users have no way to start clean,Provide a one-click reset that clears learned preferences and returns to neutral defaults,Offer 'Reset personalization' separate from clearing chat history,Bake personalization in permanently with no escape hatch,<button onClick={resetProfile}>Reset personalization</button>,no reset; a bad inference biases every future answer forever,Any adaptive/personalized AI product,Medium,Low
